Year,Class_Name,Rank,Author_Name,Final_Score,Total_Papers,Paper_List_Details
2021,기타 공학,1,오철,0.1345,6,"[C-ITS 환경에서 차량 간 상호작용 분석을 통한 차내 경고 정보의 교통 안전성 효과 평가]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[곡선부 초고속주행 시 고령 운전자의 횡방향 주행안전성 평가 연구]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[메타분석을 이용한 자율주행 기반 유상운송 서비스 효과분석]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[ADAS 자료를 이용한 교통안전 정보 효과 분석]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[위계적 모형을 활용한 사업용 자동차 사고영향요인 분석: 운전자의 내재적 요인을 중심으로]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[Vehicle Sensor 자료를 이용한 후미 추돌사고의 주행 안전성 평가 방법론 개발]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,2,박준영,0.1236,2,"[주행 시뮬레이터를 활용한 차선폭원 변화에 따른 운전자 주행행태 분석]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[데이터 마이닝 기법을 활용한 복합 사고영향요인 선정에 관한 연구]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,3,이현석,0.1236,2,"[주행 시뮬레이터를 활용한 차선폭원 변화에 따른 운전자 주행행태 분석]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[데이터 마이닝 기법을 활용한 복합 사고영향요인 선정에 관한 연구]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,4,권경주,0.1236,2,"[주행 시뮬레이터를 활용한 차선폭원 변화에 따른 운전자 주행행태 분석]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[데이터 마이닝 기법을 활용한 복합 사고영향요인 선정에 관한 연구]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,5,김정화,0.1127,2,"[활동인구 기반의 동적 접근성 산출과 적용 사례 연구: 서울시 응급약료서비스를 중심으로]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[공유형 자율차의 이동 경로 예측에 관한 기초연구: AI 분석 기반의 택시 경로와 도시 빅데이터를 이용하여]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,6,곽현준,0.1091,1,"[주행 시뮬레이터를 활용한 차선폭원 변화에 따른 운전자 주행행태 분석]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,7,김주영,0.0936,5,"[긴급차량 우선신호 부여를 고려한 강화학습 기반 지체 시간 최소화 실시간 신호 제어 체계 개발]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[모바일기지국 데이터를 이용한 출퇴근 통행 분석 알고리즘 개발: 집, 직장 추정을 중심으로]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[도로 인프라 부문의 Digital Twin 구축전략]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[게임이론을 활용한 지역간 철도 배차간격 변화에 따른 수요추정 방법 연구]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[대륙철도를 이용한 해외직구 화물에 대한 운송수단선택 특성 분석]
   └ 학회: 한국철도학회 (IF: 0.41)"
2021,기타 공학,8,김진태,0.0909,3,"[아이트래커를 활용한 안전 정보 장비 차내 최적 위치 도출 방안 연구]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[실시간 항만 교차로 사고 예방을 위한 IoT 기반 상충예측 모형 개발 및 평가]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[자율주행도로환경 내 IoT 교통안전시설 정보 제공을 위한 D2V 무선 통신 메시지 데이터 셋 설계]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,9,김주빈,0.0909,2,"[아이트래커를 활용한 안전 정보 장비 차내 최적 위치 도출 방안 연구]
   └ 학회: 대한교통학회 (IF: 1.04)
--------------------------------
[자율주행도로환경 내 IoT 교통안전시설 정보 제공을 위한 D2V 무선 통신 메시지 데이터 셋 설계]
   └ 학회: 대한교통학회 (IF: 1.04)"
2021,기타 공학,10,김건욱,0.0873,1,"[공유형 자율차의 이동 경로 예측에 관한 기초연구: AI 분석 기반의 택시 경로와 도시 빅데이터를 이용하여]
   └ 학회: 대한교통학회 (IF: 1.04)"
