Author Name,Author ID,Paper Count
전수홍,971504661,8
장승민,492922501,8
신현재,742728816,8
한형석,285762999,8
김지현,254946542,8
최찬혁,118820903,7
김선용,202721620,7
이정현,506550537,7
최남우,771481808,7
정의성,799856124,7
김동규,5423245,7
양철우,618268880,7
심재륜,983672358,7
고태훈,205637426,7
박영상,972028703,7
윤한신,148376344,7
임옥택,164840910,7
홍성용,458818430,7
성진봉,247783692,7
이동인,502835618,7
박종영,166009846,7
이재우,729024554,7
이수출,458070226,7
김주형,696510074,7
이철호,829019983,7
강정일,798579121,7
박진국,506499818,7
백영순,394685939,7
김순태,371800590,7
홍태환,483098116,7
박지영,5089681,7
김대식,368545446,7
장승주,619217163,7
김세영,224857150,7
하용훈,5354859,7
홍정표,188978352,7
손정우,562326947,7
김하선,349448375,7
심천식,280042792,7
이동원,167295475,7
최인락,4613887,7
김아란,628007994,7
안국영,175971754,7
손채훈,541388790,7
이광호,786472242,7
이영준,549173051,7
김인태,442115757,7
백부근,648724413,7
정지원,5121134,7
Samer Al Ghour,826784746,7
양원,313678771,7
Young-Min Kim,614725092,7
유승수,319910902,7
정변영,391752290,7
조준현,5144216,7
유영서,870057126,7
김문규,454536946,7
박노국,236809869,7
조진우,746613838,7
정순영,865789073,7
김병만,423002339,7
배승환,904241288,7
조홍연,991656393,7
김준수,781192661,7
김정현,486367762,7
김현승,436777799,7
전우중,724315240,7
정상섬,497579562,7
우상인,700516361,7
김용훈,133951036,7
선영택,782235687,7
윤철희,847678202,7
김재훈,838545715,7
Diwakar Tiwari,351067778,7
도명식,974663309,7
안재훈,970753691,7
이영석,646316020,7
Changha Lee,965414466,7
김규혁,4596283,7
황성호,5131356,7
서주영,311303932,7
이형일,894413623,7
한영환,261780811,7
김민국,520635254,7
강재영,504613204,7
Won-Ju Lee,132225539,7
정두원,5273700,7
장한얼,542147320,7
김광,361277997,7
Sangwon LEE,103077190,7
이상진,893678244,7
서문교,562765784,7
윤성훈,290388486,7
정현석,542376920,7
박성직,665190605,7
유병석,285696188,7
천성철,187441112,7
Nobuyuki Yamaguchi,575359535,7
김진모,977034715,7
박영주,668195600,7
김명식,867323825,7
한상환,169196634,7
이원준,602222474,7
김용성,249179205,7
황정재,827097895,7
박현준,205901153,7
류민호,779337301,7
박민종,820678891,7
김재웅,324795166,7
이찬,747091714,7
정승후,237874213,7
변일무,288861319,7
곽문규,598595583,7
이승표,384363159,7
전충환,735494576,7
손준우,450676975,7
배영훈,882607595,7
한상진,767866181,7
공예슬,224985480,7
서승환,366096914,7
황종규,260376000,7
박종대,327325275,7
이동하,458862458,7
손병래,215517486,7
김종우,420198730,7
장서일,529604960,7
마병철,936544281,7
정혜영,721448418,7
박성준,215074232,7
고동신,648138565,7
이웅섭,923430094,7
김종성,141930019,7
양지현,459677803,7
강재모,157915132,7
김상현,224544732,7
권영상,454143724,7
서충길,621316447,7
이상봉,1016116,7
김인걸,178870194,7
전법규,977565011,7
신광섭,634136427,7
김덕우,991388561,7
곽재호,468758066,7
연성모,478986175,7
길경석,210881903,7
박남은,287231803,7
이동현,633861470,7
김현준,371026753,7
R. Young Chul Kim,402209086,7
전호석,487551154,7
박세훈,535522667,7
Jeanhun Chung,459292534,7
박희창,360897341,7
김홍관,750527992,7
허환일,414385729,7
김정,125060120,7
양원직,363638880,7
김성찬,547571889,7
김남기,204523969,7
최대영,897466107,7
이미란,155484003,7
원문철,416321529,7
최경환,893572738,7
김덕수,441434574,7
이숙정,973603700,7
서기성,302846222,7
오창훈,286116105,7
김계하,562194301,7
박상효,213374149,7
송경미,688288330,7
한석민,730525938,7
조은혜,332648668,7
박정홍,148465762,7
오종석,410360746,7
신건,441553661,7
김진환,451363594,7
박성영,268915678,7
신건호,411820556,7
김혜경,522760873,7
이필엽,593452383,7
유경한,445287969,7
서민진,467260749,7
최준호,492491634,7
배만재,282303515,7
김영민,337265918,7
문성암,806719093,7
이한준,108276003,7
고석환,913418265,7
이현구,692926617,7
신우균,792212926,7
이영주,369178776,7
신영학,418397454,7
황혜미,985227190,7
주영철,490185981,7
형창희,325663903,7
김용하,529685111,7
조경운,109103852,7
이진국,964734001,7
양단아,908263678,7
박효정,704122567,7
