Year,NODE_CLSS_02,논문수,학회_순위(IF)
2024,건축공학,2345,"1. 대한환경공학회지 (1.7647)
2. 국토계획 (1.2467)
3. 대한공간정보학회지 (0.8182)
4. 터널과 지하공간 (0.6386)
5. 대한건축학회논문집 (0.637)
6. 한국측량학회지 (0.5736)
7. KIEAE Journal (0.5625)
8. 한국강구조학회 논문집 (0.5185)
9. 한국지반공학회논문집 (0.4844)
10. 콘크리트학회 논문집 (0.4435)
11. 한국해안·해양공학회논문집 (0.4423)
12. 한국자원공학회지 (0.433)
13. 한국가스학회지 (0.4314)
14. 한국건축친환경설비학회 논문집 (0.3846)
15. Environmental Engineering Research (0.3167)
16. 한국지반신소재학회 논문집 (0.2571)
17. 한국지열·수열에너지학회논문집 (0.2174)
18. International Journal of Concrete Structures and Materials (0.189)
19. 한국지반환경공학회 논문집 (0.1702)
20. ARCHITECTURAL RESEARCH (0)
21. 건축과사회 (0)
22. 건축환경설비 (0)
23. 대한토목학회지 (0)
24. 도시정보 (0)
25. 지반(한국지반공학회지) (0)
26. 지반환경 (0)
27. 콘크리트학회지 (0)
28. 한국강구조학회지 (0)
29. 한국건설순환자원학회논문집 (0)
30. 한국지반신소재학회지 (0)
31. 환경논총 (0)"
2024,공학 일반,1155,"1. 한국산업정보학회논문지 (1.252)
2. 센서학회지 (0.1103)
3. 한국산학기술학회 논문지 (0)"
2024,기계공학,2611,"1. 한국수소및신에너지학회논문집 (0.8315)
2. 한국연소학회지 (0.7556)
3. 한국CDE학회 논문집 (0.6944)
4. 에너지기후변화학회지 (0.4889)
5. 자동차안전학회지 (0.4875)
6. 한국전산유체공학회지 (0.4474)
7. 한국항공우주학회지 (0.4)
8. 비파괴검사학회지 (0.3627)
9. 한국생산제조학회지 (0.3276)
10. 항공우주시스템공학회지 (0.3182)
11. 한국소음진동공학회논문집 (0.3125)
12. 환경에너지공학 (0.2903)
13. 한국기계가공학회지 (0.2877)
14. 한국추진공학회지 (0.2826)
15. 동력시스템공학회지 (0.2605)
16. 한국유체기계학회 논문집 (0.2169)
17. 기술과 교육 (0.1944)
18. 한국표면공학회지 (0.1845)
19. International Journal of Aerospace System Engineering (0)
20. International Journal of Fluid Machinery and Systems (0)
21. Journal of Advanced Marine Engineering and Technology (JAMET) (0)
22. Journal of Propulsion and Energy (0)
23. Journal of the Korean Society for Precision Engineering (0)
24. Tribology and Lubricants (0)
25. 기계기술정책 정책지 (0)
26. 기계산업연구 (0)
27. 기계저널 (0)
28. 대한기계학회 논문집 A권 (0)
29. 대한기계학회 논문집 B권 (0)
30. 대한용접·접합학회지 (0)
31. 드라이브·컨트롤 (0)
32. 설비공학논문집 (0)
33. 설비저널 (0)
34. 소음·진동 (0)
35. 오토저널 (0)
36. 한국자동차공학회논문집 (0)
37. 항공우주산업기술동향 (0)"
2024,기타 공학,404,"1. 대한교통학회지 (1.0727)
2. 한국위험물학회지 (0.5588)
3. 재활복지공학회논문지 (0.3913)
4. 교통기술과정책 (0)
5. 철도저널 (0)
6. 한국게임학회 논문지 (0)
7. 한국철도학회 논문집 (0)"
2024,산업공학,279,"1. 지능정보연구 (1.7622)
2. 대한산업공학회지 (0.4231)
3. 대한인간공학회지 (0.4022)
4. Industrial Engineering & Management Systems (0.134)
5. 신뢰성응용연구 (0)
6. 한국 SCM 학회지 (0)"
2024,재료·에너지공학,277,"1. 한국태양에너지학회 논문집 (0.5182)
2. Current Photovoltaic Research (0.4186)
3. 에너지공학 (0.2289)
4. 한국압력기기공학회 논문집 (0.1471)
5. 소성·가공 (0)
6. 신·재생에너지 (0)
7. 태양에너지 (0)
8. 한국태양광발전학회지 (0)"
2024,전기전자공학,3870,"1. 한국정보기술학회논문지 (0.632)
2. 한국정보전자통신기술학회 논문지 (0.5039)
3. 멀티미디어학회논문지 (0.5015)
4. 한국지능시스템학회 논문지 (0.4722)
5. 로봇학회 논문지 (0.4444)
6. 한국정보통신학회논문지 (0.4177)
7. 한국도시철도학회논문집 (0.4043)
8. The International Journal of Advanced Smart Convergence (0.3992)
9. 한국통신학회논문지 (0.3452)
10. 전기학회논문지 (0.3194)
11. 전자공학회논문지 (0.2639)
12. 한국가시화정보학회지 (0.25)
13. JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE (0.1771)
14. 전기전자학회논문지 (0.16)
15. IEIE Transactions on Smart Processing & Computing (0.1)
16. Broadcasting and Communication (0)
17. INTERNATIONAL JOURNAL of FUZZY LOGIC and INTELLIGENT SYSTEMS (0)
18. International JOURNAL OF CONTENTS (0)
19. Journal of Electromagnetic Engineering And Science (0)
20. Journal of information and communication convergence engineering (0)
21. The International Journal of Internet (0)
22. 국방로봇학회 논문집 (0)
23. 로봇과 인간 (0)
24. 방송공학회논문지 (0)
25. 방송과 미디어 (0)
26. 전기의세계 (0)
27. 전력전자학회논문지 (0)
28. 전력전자학회지 (0)
29. 전자공학회지 (0)
30. 전자파기술 (0)
31. 제어로봇시스템학회 논문지 (0)
32. 제어로봇시스템학회지 (0)
33. 조명·전기설비 (0)
34. 조명·전기설비학회논문지 (0)
35. 한국인터넷방송통신학회 논문지 (0)
36. 한국전자파학회논문지 (0)
37. 한국전지학회지 (0)
38. 한국정보기술학회지 (0)
39. 한국통신학회지(정보와통신) (0)"
2024,조선해양공학,240,"1. 한국해양공학회지 (0.6818)
2. 대한조선학회 논문집 (0.6337)
3. 대한조선학회지 (0)
4. 한국해양환경·에너지학회지 (0)"
2024,컴퓨터학,1509,"1. 한국전자거래학회지 (1.5846)
2. 디지털콘텐츠학회논문지 (1.2781)
3. 한국컴퓨터정보학회논문지 (0.8149)
4. 디지털포렌식연구 (0.7191)
5. 정보보호학회논문지 (0.4136)
6. 정보과학회 컴퓨팅의 실제 논문지 (0.2515)
7. JOURNAL OF PLATFORM TECHNOLOGY (0)
8. Journal of Computing Science and Engineering (0)
9. Journal of KIISE (0)
10. 정보과학회지 (0)
11. 정보보호학회지 (0)
12. 컴퓨터그래픽스학회논문지 (0)
13. 한국컴퓨터정보학회지 (0)"
2024,화학공학,275,"1. 폴리머 (0.1893)
2. KSBB Journal (0.16)
3. BT NEWS (0)
4. 고분자 과학과 기술 (0)
5. 청정기술 (0)"
